epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9549,1.04842,2.91226,1.02622,0.00333,1,0.99289,0.59987,0.83456,3.58071,0.81154,0.00034,0.00034,0.00034
2,42.0313,0.96256,1.64632,0.97557,0.00333,1,0.09345,0.01606,1.0236,3.76707,0.94541,0.00068614,0.00068614,0.00068614
3,60.2701,0.99051,1.50438,0.97422,0.81034,0.23158,0.60321,0.41755,1.0121,3.08984,0.97684,0.00101802,0.00101802,0.00101802
4,78.5123,1.00933,1.36464,0.99829,1,0.31567,0.98491,0.72237,0.95458,2.8405,0.93539,0.00133565,0.00133565,0.00133565
5,97.2468,0.95972,1.22494,0.98114,0.99361,1,0.995,0.74113,0.9394,1.94778,0.94296,0.00163902,0.00163902,0.00163902
6,117.051,0.99785,1.22979,0.98867,0.99236,1,0.995,0.68414,0.98035,1.53455,0.96441,0.001802,0.001802,0.001802
7,136.585,0.90682,1.03394,0.95322,0.99502,1,0.995,0.72039,1.09127,1.24016,1.027,0.0017624,0.0017624,0.0017624
8,157.343,0.91365,0.95906,0.96941,0.96891,1,0.99289,0.73017,0.92241,1.00487,0.92183,0.0017228,0.0017228,0.0017228
9,178.552,0.8815,0.95016,0.96504,0.99561,1,0.995,0.73892,0.90958,0.93368,0.93382,0.0016832,0.0016832,0.0016832
10,199.704,0.88249,0.8305,0.94216,0.9912,1,0.995,0.76598,0.79827,0.85375,0.91221,0.0016436,0.0016436,0.0016436
11,220.746,0.85017,0.76636,0.94323,0.99577,1,0.995,0.74273,0.93292,0.86724,0.92402,0.001604,0.001604,0.001604
12,240.902,0.8563,0.76243,0.93231,0.99804,1,0.995,0.76856,0.83284,0.76403,0.89271,0.0015644,0.0015644,0.0015644
13,262.294,0.86545,0.71168,0.91872,0.99739,1,0.995,0.76029,0.78557,0.67753,0.88656,0.0015248,0.0015248,0.0015248
14,283.954,0.849,0.69056,0.92958,0.99542,1,0.995,0.75998,0.78331,0.67036,0.88138,0.0014852,0.0014852,0.0014852
15,306.165,0.81178,0.64732,0.91439,0.99685,1,0.995,0.74988,0.80851,0.66925,0.89015,0.0014456,0.0014456,0.0014456
16,328.823,0.78396,0.62402,0.9243,0.99798,1,0.995,0.80035,0.77968,0.55739,0.88556,0.001406,0.001406,0.001406
17,352.49,0.77379,0.59056,0.9107,0.995,0.97297,0.97504,0.76062,0.78149,0.58286,0.8751,0.0013664,0.0013664,0.0013664
18,375.033,0.76048,0.57965,0.90318,0.99786,1,0.995,0.76201,0.77504,0.58677,0.87257,0.0013268,0.0013268,0.0013268
19,398,0.79139,0.57266,0.91659,0.99809,1,0.995,0.75947,0.92593,0.65941,0.91553,0.0012872,0.0012872,0.0012872
20,423.37,0.79723,0.57602,0.91881,0.99719,0.75676,0.75547,0.60327,0.7916,0.5663,0.88914,0.0012476,0.0012476,0.0012476
21,449.211,0.77658,0.56404,0.90471,0.9977,0.83784,0.83536,0.65042,0.74958,0.53867,0.87695,0.001208,0.001208,0.001208
22,475.843,0.7525,0.53682,0.90839,0.99218,0.83784,0.83562,0.66366,0.79476,0.51051,0.90045,0.0011684,0.0011684,0.0011684
23,503.435,0.73934,0.51407,0.89743,0.99618,0.75676,0.75701,0.61142,0.81376,0.55487,0.90411,0.0011288,0.0011288,0.0011288
24,532.648,0.74286,0.53021,0.90021,0.99752,1,0.995,0.79577,0.7486,0.50627,0.89682,0.0010892,0.0010892,0.0010892
25,556.825,0.74297,0.51741,0.90332,0.99816,1,0.995,0.81107,0.767,0.47963,0.88849,0.0010496,0.0010496,0.0010496
26,579.75,0.75835,0.51083,0.92359,0.99786,1,0.995,0.77169,0.80555,0.46285,0.87809,0.00101,0.00101,0.00101
27,601.381,0.75113,0.51179,0.89814,0.99687,1,0.995,0.71984,1.03571,0.49575,0.93211,0.0009704,0.0009704,0.0009704
28,623.19,0.7439,0.50184,0.90019,0.99841,1,0.995,0.78806,0.77622,0.47211,0.87243,0.0009308,0.0009308,0.0009308
29,644.931,0.71529,0.4743,0.89017,0.99839,1,0.995,0.77731,0.84833,0.51843,0.90294,0.0008912,0.0008912,0.0008912
30,670.982,0.71045,0.46086,0.89052,0.99836,1,0.995,0.80466,0.78926,0.45387,0.87547,0.0008516,0.0008516,0.0008516
31,694.741,0.71658,0.47483,0.89933,0.99836,1,0.995,0.80283,0.79962,0.42961,0.88086,0.000812,0.000812,0.000812
32,716.037,0.68008,0.43393,0.87412,0.99737,1,0.995,0.79798,0.76993,0.4574,0.87783,0.0007724,0.0007724,0.0007724
33,737.304,0.66614,0.43555,0.87372,0.99595,1,0.995,0.72792,0.98789,0.53327,0.93794,0.0007328,0.0007328,0.0007328
34,758.397,0.67239,0.42772,0.88718,0.99829,1,0.995,0.78883,0.79198,0.42339,0.89513,0.0006932,0.0006932,0.0006932
35,779.35,0.69149,0.43944,0.87477,0.99845,1,0.995,0.8002,0.81327,0.38824,0.89097,0.0006536,0.0006536,0.0006536
36,801.281,0.66722,0.42542,0.87309,0.99816,1,0.995,0.78717,0.82107,0.407,0.89082,0.000614,0.000614,0.000614
37,823.307,0.61408,0.39988,0.8668,0.99821,1,0.995,0.822,0.72589,0.37131,0.87415,0.0005744,0.0005744,0.0005744
38,844.416,0.62444,0.41437,0.88205,0.99821,1,0.995,0.78354,0.85737,0.41695,0.89635,0.0005348,0.0005348,0.0005348
39,865.104,0.63406,0.39721,0.86244,0.99832,1,0.995,0.80574,0.75947,0.39725,0.88452,0.0004952,0.0004952,0.0004952
40,886.096,0.6462,0.41521,0.88794,0.99822,1,0.995,0.8129,0.84473,0.41573,0.88217,0.0004556,0.0004556,0.0004556
41,906.677,0.61261,0.40475,0.85607,0.9984,1,0.995,0.8347,0.71337,0.38487,0.86385,0.000416,0.000416,0.000416
42,926.773,0.57993,0.38178,0.86496,0.99849,1,0.995,0.83486,0.76195,0.39417,0.86533,0.0003764,0.0003764,0.0003764
43,947.155,0.55796,0.36972,0.84731,0.9985,1,0.995,0.82885,0.69855,0.37753,0.86479,0.0003368,0.0003368,0.0003368
44,967.412,0.55769,0.35997,0.85799,0.99849,1,0.995,0.81693,0.72755,0.34377,0.86649,0.0002972,0.0002972,0.0002972
45,987.374,0.57406,0.36214,0.86493,0.99837,1,0.995,0.82626,0.73137,0.35234,0.87377,0.0002576,0.0002576,0.0002576
46,1008.62,0.52238,0.34417,0.85379,0.99835,1,0.995,0.7927,0.88375,0.40262,0.90629,0.000218,0.000218,0.000218
47,1029.46,0.53855,0.34615,0.853,0.99836,1,0.995,0.81047,0.79386,0.36983,0.87882,0.0001784,0.0001784,0.0001784
48,1049.96,0.51893,0.33138,0.83914,0.99839,1,0.995,0.80096,0.832,0.37172,0.89513,0.0001388,0.0001388,0.0001388
49,1070.13,0.54455,0.33803,0.85488,0.99842,1,0.995,0.80712,0.82595,0.37528,0.89131,9.92e-05,9.92e-05,9.92e-05
50,1091.26,0.52468,0.32775,0.85474,0.99843,1,0.995,0.81738,0.80898,0.36991,0.8838,5.96e-05,5.96e-05,5.96e-05
